Latitude,Longitude,Altitude,temp,pressure,wind_speed,clouds_all,Wind_Sin,Wind_Cos
42.33353,26.342926,33678.836,278.0145,1011.21155,1.2071477,92.96381,0.25231963,0.44579032
42.324963,26.354439,33594.586,278.00082,1011.20575,1.2098619,93.03136,0.25219333,0.44598448
42.316376,26.366001,33509.55,277.9871,1011.1997,1.2125887,93.09831,0.25206417,0.44617328
42.30777,26.377615,33423.71,277.97336,1011.19354,1.2153274,93.16466,0.25193202,0.44635662
42.29915,26.389277,33337.06,277.9596,1011.1872,1.2180787,93.23038,0.2517966,0.44653445
42.29051,26.40099,33249.582,277.94583,1011.18066,1.220843,93.295456,0.2516579,0.44670677
42.28185,26.412756,33161.258,277.93204,1011.174,1.2236198,93.35989,0.2515155,0.4468734
42.273174,26.424574,33072.074,277.91827,1011.1672,1.22641,93.42365,0.25136954,0.44703412
42.264477,26.436447,32982.016,277.9045,1011.16016,1.2292129,93.48673,0.25121963,0.447189
42.255764,26.448374,32891.07,277.89078,1011.15295,1.2320288,93.54912,0.25106567,0.44733787
42.247032,26.460358,32799.21,277.87708,1011.14557,1.2348574,93.610794,0.25090754,0.44748047
42.23828,26.472397,32706.43,277.86343,1011.13806,1.2377003,93.67174,0.25074494,0.44761685
42.22951,26.484493,32612.701,277.84982,1011.1303,1.2405561,93.73193,0.25057763,0.44774693
42.220722,26.49665,32518.01,277.83627,1011.12244,1.2434257,93.791374,0.25040543,0.44787046
42.211914,26.508867,32422.334,277.8228,1011.11444,1.2463089,93.85003,0.25022835,0.44798735
42.203087,26.521143,32325.656,277.80942,1011.1062,1.249206,93.90789,0.250046,0.44809738
42.19424,26.53348,32227.953,277.7961,1011.0978,1.2521166,93.964935,0.24985813,0.44820058
42.185375,26.545883,32129.207,277.7829,1011.08923,1.2550417,94.02113,0.24966462,0.44829676
42.17649,26.558348,32029.393,277.7698,1011.0805,1.2579814,94.076485,0.24946512,0.44838566
42.167583,26.570883,31928.484,277.75687,1011.0716,1.2609347,94.13097,0.24925949,0.44846725
42.158657,26.583483,31826.465,277.74402,1011.0625,1.2639028,94.18455,0.2490473,0.44854128
42.14971,26.596153,31723.303,277.73132,1011.0532,1.2668859,94.23721,0.24882849,0.4486076
42.140747,26.60889,31618.975,277.7188,1011.04376,1.269884,94.28895,0.24860285,0.44866604
42.13176,26.621698,31513.455,277.70642,1011.0341,1.2728969,94.339714,0.24836992,0.4487165
42.12275,26.63458,31406.717,277.69424,1011.02435,1.2759255,94.389496,0.24812953,0.44875866
42.113724,26.647537,31298.729,277.68225,1011.01434,1.2789692,94.43828,0.24788122,0.4487923
42.10467,26.660568,31189.463,277.67044,1011.0042,1.2820293,94.48602,0.24762492,0.44881743
42.095604,26.673677,31078.89,277.65884,1010.99384,1.2851046,94.53272,0.24736018,0.44883358
42.08651,26.686865,30966.977,277.6475,1010.98334,1.2881964,94.57834,0.24708678,0.44884068
42.077396,26.700132,30853.69,277.63638,1010.9726,1.2913047,94.62284,0.24680446,0.44883853
42.06826,26.71348,30738.998,277.62552,1010.9617,1.2944294,94.666214,0.24651264,0.4488269
42.0591,26.726915,30622.865,277.6149,1010.95056,1.2975711,94.70843,0.24621107,0.44880548
42.04992,26.740435,30505.256,277.60458,1010.9393,1.3007301,94.74945,0.24589948,0.44877416
42.040718,26.754042,30386.13,277.59454,1010.9278,1.3039061,94.78925,0.24557747,0.44873247
42.03149,26.76774,30265.457,277.5848,1010.91614,1.3071002,94.8278,0.2452447,0.4486803
42.02224,26.78153,30143.188,277.5754,1010.90424,1.3103119,94.865074,0.24490063,0.4486173
42.012966,26.795412,30019.285,277.56635,1010.89215,1.313542,94.90103,0.24454506,0.4485432
42.00367,26.809391,29893.709,277.55765,1010.8799,1.3167909,94.93565,0.24417745,0.44845778
41.99435,26.823465,29766.412,277.5493,1010.8674,1.3200587,94.96889,0.24379738,0.44836062
41.985004,26.837643,29637.352,277.54132,1010.8547,1.3233455,95.000694,0.24340431,0.44825143
41.975636,26.851921,29506.479,277.53378,1010.8418,1.3266519,95.03106,0.24299799,0.44812986
41.966244,26.866304,29373.744,277.5266,1010.8287,1.3299779,95.05993,0.24257787,0.44799572
41.95682,26.880796,29239.1,277.5199,1010.8153,1.3333238,95.087265,0.24214335,0.44784832
41.94738,26.895397,29102.496,277.51364,1010.80176,1.3366903,95.11303,0.24169405,0.4476875
41.937912,26.91011,28963.873,277.50787,1010.78796,1.3400778,95.13719,0.24122931,0.44751275
41.928417,26.924936,28823.184,277.50256,1010.774,1.3434871,95.15969,0.2407486,0.44732392
41.9189,26.939882,28680.37,277.49777,1010.7597,1.3469175,95.18049,0.2402515,0.44712052
41.909355,26.954945,28535.365,277.4935,1010.74524,1.3503703,95.19953,0.23973738,0.44690195
41.899784,26.970133,28388.121,277.4898,1010.7305,1.3538457,95.21679,0.23920558,0.44666785
41.890186,26.985449,28238.57,277.48666,1010.7155,1.3573438,95.23219,0.23865558,0.44641766
41.880566,27.000889,28086.648,277.4841,1010.7003,1.360865,95.245705,0.23808666,0.44615096
41.870922,27.016462,27932.295,277.48218,1010.6848,1.3644103,95.25727,0.23749824,0.44586733
41.861248,27.03217,27775.438,277.48087,1010.6691,1.3679799,95.26684,0.23688959,0.4455662
41.85155,27.048014,27616.01,277.48022,1010.6531,1.371574,95.27434,0.2362601,0.44524693
41.841827,27.063997,27453.941,277.4803,1010.63684,1.3751932,95.27971,0.23560889,0.44490892
41.83208,27.080126,27289.156,277.48105,1010.6203,1.3788384,95.2829,0.23493539,0.4445517
41.822308,27.0964,27121.588,277.48254,1010.60345,1.3825096,95.28385,0.23423882,0.44417477
41.81251,27.112823,26951.154,277.4848,1010.5863,1.3862075,95.282486,0.23351835,0.44377735
41.802692,27.1294,26777.777,277.48785,1010.5689,1.3899328,95.27875,0.23277317,0.44335878
41.79285,27.146132,26601.379,277.4917,1010.55115,1.3936855,95.27255,0.23200233,0.44291842
41.782986,27.163023,26421.88,277.49643,1010.5331,1.3974661,95.26384,0.2312053,0.44245544
41.773098,27.180077,26239.197,277.502,1010.5148,1.4012762,95.252525,0.230381,0.4419692
41.76319,27.197294,26053.242,277.50854,1010.4961,1.405115,95.23853,0.22952847,0.44145894
41.753265,27.21468,25863.936,277.516,1010.47705,1.4089841,95.22179,0.2286468,0.440924
41.743324,27.232235,25671.188,277.52438,1010.4577,1.4128834,95.2022,0.22773515,0.44036326
41.733364,27.249964,25474.91,277.5338,1010.4379,1.416814,95.1797,0.22679268,0.439776
41.72339,27.26787,25275.018,277.54428,1010.41785,1.420776,95.15419,0.22581808,0.4391613
41.7134,27.285954,25071.416,277.55582,1010.3974,1.4247707,95.12557,0.22481064,0.43851838
41.703403,27.304222,24864.023,277.56848,1010.3766,1.4287981,95.093765,0.22376908,0.43784618
